,Genre
Dr Valentin Pilman - Prix Nobel,Homme
Redrick Shouhart (Red - Rouquin),Homme
Kirill Panov – Docteur Panov - ami de Redrick,Homme
Tender - collègue de Redrick,Homme
Richard Nounane (Dick),Homme
Gouta - femme de Redrick,Femme
Rauque (Hew),Homme
Phil le Décharné,Homme
Ouistiti – Fille de Redrick et Gouta,Fille
Charognard (Barbridge),Homme
Cirage,Homme
Iskhak Sac d'Os,Homme
Ernest,Homme
Aloïs Makno,Homme
Arthur Barbridge,Homme
Lemkhen - patron de Nounane,Homme
Stephan Norman - le Binoclard,Homme
Austin,Homme
Capitaine Willy Hertzog,Homme
Mollusque,Homme
Freluquet,Homme
Caniche,Homme
Dina Barbridge,Femme
Capitaine QuaterBlood,Homme
Le Boucher (James Cutterfield),Homme
Satan (Diable),Non défini
Dieu,Non défini
Loir (Dickson),Homme
Creon Le Maltais,Homme
La secrétaire de nounane,Femme
Baylis,Non défini
Jeune Homme basané secrétaire de Lemkhen,Homme
Carter le veinard,Homme
Cactus (Jonathan Miles),Homme
Ben le gros nez (Ben Galevi le Nasillard),Homme
Nain Tsmyg,Homme
Le vieux Benny,Homme
Madame (Bar Métropole),Femme
Katioucha Gros Os (gérant du métropole – Raphaël),Homme
Rajba,Homme
Zapfa le Poussin,Homme
Newton,Homme
Vonnegut,Homme
Rosalia (femme d'Ernest – gérante du Bortch),Femme
Frankenstein,Homme
Madame Shelley,Femme
Laborantin de Boyd,Homme
Professeur Boyd,Homme
Femme du docteur Pillman,Femme
Pere de Red le rouquin,Homme
Le Vieux Harris,Homme
